Организация;Партнер;ИНН;КПП;ТС;ГосНомер;ИД;Активно;ОкончаниеНачисления;НомерНачисления;ДатаНачисления;Сумманачисления;НомерСчета;ДатаСчет;
Мусякаев Р. З. ИП;СтройЭлектроМонтаж-1;3123313062;312301001;HMK 102B 9494ЕТ 31 ;9494ЕТ 31 ;862462031903296;Да;01.01.0001 0:00:00;000000171;25.06.2020 14:12:52;500;МРУТ-000170;25.06.2020 0:00:00;
Мусякаев Р. З. ИП;Прометей;3123341038;312301001; ФАВ 596;ФАВ 596;336022169;Нет;01.01.0001 0:00:00;;;0;;;
Мусякаев Р. З. ИП;Прометей;3123341038;312301001; ФАВ 921;ФАВ 921;336024523;Да;01.01.0001 0:00:00;000000171;25.06.2020 14:12:52;500;МРУТ-000165;25.06.2020 0:00:00;
Мусякаев Р. З. ИП;Прометей;3123341038;312301001; [О 921 ЕХ 31] FAW;[О 921 ЕХ 31] FAW;1224000592;Нет;01.01.0001 0:00:00;;;0;;;
Мусякаев Р. З. ИП;Прометей;3123341038;312301001; [С 486 МК 31] Камаз;[С 486 МК 31] Камаз;1138002359;Да;01.01.0001 0:00:00;000000171;25.06.2020 14:12:52;500;МРУТ-000165;25.06.2020 0:00:00;
Мусякаев Р. З. ИП;Прометей;3123341038;312301001;FAW О921ЕХ;О921ЕХ;;Нет;01.01.0001 0:00:00;;;0;;;
Мусякаев Р. З. ИП;Прометей;3123341038;312301001;FAW Н596ВК31   ;Н596ВК31   ;;Да;01.01.0001 0:00:00;000000171;25.06.2020 14:12:52;500;МРУТ-000165;25.06.2020 0:00:00;
Мусякаев Р. З. ИП;Импульс ТК ООО;3123455042;312301001;VOLVO Т531ЕХ31   ;Т531ЕХ31   ;336033089;Да;01.01.0001 0:00:00;000000171;25.06.2020 14:12:52;500;МРУТ-000152;25.06.2020 0:00:00;
Мусякаев Р. З. ИП;ФЛАГМАН ООО Ст. Оскол;3128100325;312801001;ЗИЛ Е202МС     ;Е202МС     ;369002657;Да;01.01.0001 0:00:00;000000171;25.06.2020 14:12:52;400;МРУТ-000174;25.06.2020 0:00:00;
Мусякаев Р. З. ИП;ФЛАГМАН ООО Ст. Оскол;3128100325;312801001;Камаз М860УВ     ;М860УВ     ;369004672;Да;01.01.0001 0:00:00;000000171;25.06.2020 14:12:52;400;МРУТ-000174;25.06.2020 0:00:00;
Мусякаев Р. З. ИП;ФЛАГМАН ООО Ст. Оскол;3128100325;312801001;Камаз Р886НМ     ;Р886НМ     ;369004866;Да;01.01.0001 0:00:00;000000171;25.06.2020 14:12:52;400;МРУТ-000174;25.06.2020 0:00:00;
Мусякаев Р. З. ИП;ФЛАГМАН ООО Ст. Оскол;3128100325;312801001;Камаз Н222АС     ;Н222АС     ;369004873;Да;01.01.0001 0:00:00;000000171;25.06.2020 14:12:52;400;МРУТ-000174;25.06.2020 0:00:00;
Мусякаев Р. З. ИП;ФЛАГМАН ООО Ст. Оскол;3128100325;312801001;Камаз М111АЕ     ;М111АЕ     ;369004848;Да;01.01.0001 0:00:00;000000171;25.06.2020 14:12:52;400;МРУТ-000174;25.06.2020 0:00:00;
Мусякаев Р. З. ИП;ФЛАГМАН ООО Ст. Оскол;3128100325;312801001;Камаз О428ЕС     ;О428ЕС     ;369004669;Да;01.01.0001 0:00:00;000000171;25.06.2020 14:12:52;400;МРУТ-000174;25.06.2020 0:00:00;
Мусякаев Р. З. ИП;ФЛАГМАН ООО Ст. Оскол;3128100325;312801001;Камаз М611ВС     ;М611ВС     ;369004868;Да;01.01.0001 0:00:00;000000171;25.06.2020 14:12:52;400;МРУТ-000174;25.06.2020 0:00:00;
Мусякаев Р. З. ИП;ФЛАГМАН ООО Ст. Оскол;3128100325;312801001;Камаз Т967ЕР     ;Т967ЕР     ;369004869;Да;01.01.0001 0:00:00;000000171;25.06.2020 14:12:52;400;МРУТ-000174;25.06.2020 0:00:00;
Мусякаев Р. З. ИП;ФЛАГМАН ООО Ст. Оскол;3128100325;312801001;Камаз О656РВ     ;О656РВ     ;369004846;Да;01.01.0001 0:00:00;000000171;25.06.2020 14:12:52;400;МРУТ-000174;25.06.2020 0:00:00;
Мусякаев Р. З. ИП;ФЛАГМАН ООО Ст. Оскол;3128100325;312801001;Камаз М636УМ     ;М636УМ     ;369004845;Да;01.01.0001 0:00:00;000000171;25.06.2020 14:12:52;400;МРУТ-000174;25.06.2020 0:00:00;
Мусякаев Р. З. ИП;ФЛАГМАН ООО Ст. Оскол;3128100325;312801001;Камаз К649ТМ     ;К649ТМ     ;369004668;Да;01.01.0001 0:00:00;000000171;25.06.2020 14:12:52;400;МРУТ-000174;25.06.2020 0:00:00;
Мусякаев Р. З. ИП;ФЛАГМАН ООО Ст. Оскол;3128100325;312801001;БАФ Н981АС     ;Н981АС     ;369004849;Да;01.01.0001 0:00:00;000000171;25.06.2020 14:12:52;400;МРУТ-000174;25.06.2020 0:00:00;
Мусякаев Р. З. ИП;ФЛАГМАН ООО Ст. Оскол;3128100325;312801001;TEREX 4668ЕТ     ;4668ЕТ     ;369004842;Да;01.01.0001 0:00:00;000000171;25.06.2020 14:12:52;400;МРУТ-000174;25.06.2020 0:00:00;
Мусякаев Р. З. ИП;Хадыкин С.М. ИП;312000092803;;DAF О024НТ31   ;О024НТ31   ;336033943;Да;01.01.0001 0:00:00;000000171;25.06.2020 14:12:52;600;МРУТ-000175;25.06.2020 0:00:00;
